Gene	Col1
Sobic.001G001300	0.029983
Sobic.001G002100	0.0325625
Sobic.001G003900	0.0322942
Sobic.001G005500	0.0234554
Sobic.001G005700	0.0238097
Sobic.001G006300	0.00891768
Sobic.001G006500	0.0239314
Sobic.001G007700	0.0459261
Sobic.001G007800	0.0240117
Sobic.001G008400	0.0102307
Sobic.001G009200	0.0351024
Sobic.001G009400	0.0178662
Sobic.001G009500	0.0105293
Sobic.001G011400	0.0155144
Sobic.001G011700	0.0297601
Sobic.001G013600	0.0283704
Sobic.001G013900	0.0248405
Sobic.001G014000	0.000792286
Sobic.001G015100	0.0180111
Sobic.001G015700	0.0278141
Sobic.001G016800	0.00810269
Sobic.001G023200	0.0442089
Sobic.001G025500	0.0355978
Sobic.001G026700	0.00744184
Sobic.001G027700	0.0208924
Sobic.001G028000	0.0103071
Sobic.001G028200	0.0224295
Sobic.001G028900	0.0275835
Sobic.001G029300	0.0147992
Sobic.001G029800	0.0126023
Sobic.001G029900	0.0175331
Sobic.001G030200	0.0112915
Sobic.001G031300	0.0319613
Sobic.001G031400	0.0244261
Sobic.001G031500	0.0309834
Sobic.001G033900	0.0254474
Sobic.001G034100	0.00695597
Sobic.001G038450	0.00396718
Sobic.001G038500	0.0130251
Sobic.001G040200	0.0220277
Sobic.001G041500	0.017482
Sobic.001G042700	0.0273732
Sobic.001G044800	0.00586272
Sobic.001G046100	0.0367141
Sobic.001G046700	0.0182266
Sobic.001G047700	0.0239816
Sobic.001G048400	0.0303577
Sobic.001G049200	0.0332939
Sobic.001G050800	0.00715801
Sobic.001G051800	0.00622777
Sobic.001G052200	0.0251333
Sobic.001G052600	0.0403562
Sobic.001G053000	0.0229939
Sobic.001G053500	0.0204038
Sobic.001G055700	0.00215962
Sobic.001G056500	0.0206947
Sobic.001G057400	0.0299947
Sobic.001G058500	0.0347118
Sobic.001G061900	0.0471909
Sobic.001G062400	0.0208157
Sobic.001G062700	0.0183162
Sobic.001G065200	0.0388328
Sobic.001G065300	0.0321764
Sobic.001G065500	0.0150618
Sobic.001G066600	0.0167843
Sobic.001G067500	0.0636795
Sobic.001G067700	0.020767
Sobic.001G067850	0.0387255
